Call To stations,L-46:40,.01 15:37:00,.01 19:37:00,.01 21:37:00
Fill water tank sound suppresion,L-46-41,.01 16:17:00-21:17:00,.01 20:17:00-01:17:00,.01 22:17:00-03:17:00
LOX/LH2 preparations,L-46-37,.01 16:17:00-01:17:00,.01 20:17:00-05:17:00,.01 22:17:00-07:17:00
Late Orion power up,L-42-41:30,.01 20:17:00-20:47:00,.02 00:17:00-00:47:00,.02 02:17:00-02:47:00
ICPS power up,L-38:30-35:30,.01 23:47:00-02:47:00,.02 03:47:00-06:47:00,.02 05:47:00-08:47:00
Core stage power up,L-34-33:20,.02 04:17:00-04:57:00,.02 08:17:00-08:57:00,.02 10:17:00-10:57:00
RS-25 final preparations, L-36:20-31,.02 01:57:00-07:17:00,.02 05:57:00-11:17:00,.02 07:57:00-13:17:00
COPV pressurization,L-31-22,.02 07:17:00-16:17:00,.02 11:17:00-20:17:00,.02 13:17:00-22:17:00
Orion Flight batteries 100%, L-30-26,.02 08:17:00-12:17:00,.02 12:17:00-16:17:00,.02 14:17:00-18:17:00
Core Flight batteries 100%, L-27-21,.02 11:17:00-17:17:00,.02 15:17:00-21:17:00,.02 17:17:00-23:17:00
IPCS power up for launch,L-18:30-15:30,.02 19:47:00-22:47:00,.02 23:47:00-02:47:00,.03 01:47:00-04:47:00
LC-39B evacutation,L-12-10,.03 02:17:00-04:17:00,.03 06:17:00-08:17:00,.03 08:17:00-10:17:00
Ground launch Sequencer Activation,L-11:15-9:15,.03 03:02:00-05:02:00,.03 07:02:00-09:02:00,.03 09:02:00-11:02:00
Air-GN2 Changeover for cavity inerting,L-10:45,.03 03:32:00,.03 07:32:00,.03 09:32:00
Countdown hold,L-9:40-7:10,.03 04:37:00-07:07:00,.03 08:37:00-11:07:00,.03 10:37:00-13:07:00
Weather and tanking briefing,L-9:30-8:50,.03 04:47:00-05:27:00,.03 08:47:00-09:27:00,.03 10:47:00-11:27:00
Go/No-Go tanking,L-8:40,.03 05:37:00,.03 09:37:00,.03 11:37:00
Core LO2 transfer line chilldown,L-8:15-8,.03 06:02:00-06:17:00,.03 10:02:00-10:17:00,.03 12:02:00-12:17:00
Core Stage chilldown,L-8-7:20,.03 06:17:00-06:57:00,.03 10:17:00-10:57:00,.03 12:17:00-12:57:00
Core LO2 slow fill,L-7:20-7:05,.03 06:57:00-07:12:00,.03 10:57:00-11:12:00,.03 12:57:00-13:12:00
Core LH2 chillldown,L-7:15-7:05,.03 07:02:00-07:12:00,.03 11:02:00-11:12:00,.03 13:02:00-13:12:00
Core L02 fast fill,L-7:05-4:15,.03 07:12:00-10:02:00,.03 11:12:00-14:02:00,.03 13:12:00-16:02:00
Core LH2 slow fill,L-7:05-6:15,.03 07:12:00-08:02:00,.03 11:12:00-12:02:00,.03 13:12:00-14:02:00
Core LH2 fast fill,L-6:15-05:05,.03 08:02:00-09:12:00,.03 12:02:00-13:12:00,.03 14:02:00-15:12:00
Core Stage LH2 in replenish,L-5,.03 09:17:00,.03 13:17:00,.03 15:17:00
ICPS LH2 chilldown,L-4:45-4:30,.03 09:32:00-09:47:00,.03 13:32:00-13:47:00,.03 15:32:00-15:47:00
ICPS LH2 fast fill,L-4:30-3:30,.03 09:47:00-10:47:00,.03 13:47:00-14:47:00,.03 15:47:00-16:47:00
Orion com activated,L-4:20-3:45,.03 09:57:00-10:32:00,.03 13:57:00-14:32:00,.03 15:57:00-16:32:00
Core LO2 topping,L-4:15-3:55,.03 10:02:00-10:22:00,.03 14:02:00-14:22:00,.03 16:02:00-16:22:00
Core LO2 replenish,L-3:55,.03 10:22:00,.03 14:22:00,.03 16:22:00
ICPS LO2 MPS chilldown,L-3:55-3:45,.03 10:22:00-10:32:00,.03 14:22:00-14:32:00,.03 16:22:00-16:32:00
ICPS LO2 fast fill,L-3:45-2:55,.03 10:32:00-11:22:00,.03 14:32:00-15:22:00,.03 16:32:00-17:22:00
ICPS LH2 validation and leak test,L-3:30-3:15,.03 10:47:00-11:02:00,.03 14:47:00-15:02:00,.03 16:47:00-17:02:00
ICPS LH2 tank topping,L-3:15-2:55,.03 11:02:00-11:22:00,.03 15:02:00-15:22:00,.03 17:02:00-17:22:00
ICPS LO2 topping,L-2:30-2:10,.03 11:47:00-12:07:00,.03 15:47:00-16:07:00,.03 17:47:00-18:07:00
ICPS LO2 replenish,L-2:10,.03 12:07:00,.03 16:07:00,.03 18:07:00
Nasa Test Director briefing,L-00:50,.03 13:27:00,.03 17:27:00,.03 19:27:00
Built in hold,L-00:40,.03 13:37:00,.03 17:37:00,.03 19:37:00
Final Go/No-Go poll,L-00:15,.03 14:02:00,.03 18:02:00,.03 20:02:00
GLS initiates terminal count,T-00:10,.03 14:07:00,.03 18:07:00,.03 20:07:00
Orion ascent pyros are armed,T-00:06,.03 14:11:00,.03 18:11:00,.03 20:11:00
Orion set to internal power,T-00:06,.03 14:11:00,.03 18:11:00,.03 20:11:00
Core Stage LH2 terminate replenish,T-00:05:57,.03 14:11:03,.03 18:11:03,.03 20:11:03
Core Stage auxiliary power unit starts,T-00:04:00,.03 14:13:00,.03 18:13:00,.03 20:13:00
Core Stage LO2 terminate replenish,T-00:03:30,.03 14:13:30,.03 18:13:30,.03 20:13:30
ICPS internal battery power,T-00:01:56,.03 14:15:04,.03 18:15:04,.03 20:15:04
Core Stage internal power,T-00:01:30,.03 14:15:30,.03 18:15:30,.03 20:15:30
ICPS countdown mode,T-00:01:20,.03 14:15:40,.03 18:15:40,.03 20:15:40
ICPS LH2 terminate replenish,T-00:00:50,.03 14:16:10,.03 18:16:10,.03 20:16:10
GLS send Go for automatic launch sequencer,T-00:00:33,.03 14:16:27,.03 18:16:27,.03 20:16:27
Core stage flight computer automatic launch sequencer,T-00:00:30,.03 14:16:30,.03 18:16:30,.03 20:16:30
Hydrogen burn off igniters initiated,T-00:00:12,.03 14:16:48,.03 18:16:48,.03 20:16:48
GLS send command for core stage engine start,T-00:00:10,.03 14:16:50,.03 18:16:50,.03 20:16:50
RS-25 startup,T-00:00:06,.03 14:16:54,.03 18:16:54,.03 20:16:54
"Booster ingnition, umbilical separation and liftoff",T-0,.03 14:17:00,.03 18:17:00,.03 20:17:00
